name,party,organization_name,organization_address,food,amount,purpose
김용태,새누리당,(주)이랜드 파크 렉싱턴호텔 여의도,서울 영등포구 여의도동 13-3,호텔,195000,간담회 식사 - 정무위원회
심상정,정의당,(주)이씨엠디,서울 영등포구 여의도동 1,출장요리,80000,기자회견 후 회의비(의원 외 9인)
심상정,정의당,(주)이씨엠디,서울 영등포구 의사당대로 1,출장요리,80000,의원 외 7인 식대
박대동,새누리당,(주)정양물산,서울시 중구 회현동2가 60-2,한식,69000,임시국회 대비 간담회
김무성,새누리당,(주)제이에스물산,충남 천안시 성기읍 요망121,일반휴게음식,12250,정책개발을 위한 보좌진과의 의정논의
이철우,새누리당,(주)티에스아노,서울특별시 용산구 청파로 378 갤러리아콩코스 3층,일식,206000,동서화함 포럼
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,70000,정당공천제 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,107000,중견기업 제도적기반 조성반 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,72000,정보위원 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,224000,공무원연금관련 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,99000,신용평가제도개선 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,90000,세월호특별법 관련 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,543000,내륙고속철도 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,300000,지방살리기 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,180000,북한의 경제특구 제반현황 간담회
이철우,새누리당,(주)한울F&S 국회회관점,서울특별시 영등포구 의사당대로 1,기타,78000,국방신뢰성 발전방안 간담회
김광림,새누리당,(주)해우리 서여의도점,서울 영등포구 여의도동 16-2,한식,261400,기자간담회
박대동,새누리당,(주)해우리 서여의도점,서울 영등포구 여의도동 16-2,한식,406500,상임위현안 관련 기자간담회
박대동,새누리당,(주)해우리 서여의도점,서울 영등포구 여의도동 16-2,한식,178400,지역현안 관련 기자간담회
김무성,새누리당,5.5닭갈비,"대전 서구 탄방동 1034 굿앤월드빌딩 105호, 106호",한식,48000,정책개발을 위한 보좌진과의 의정논의
심상정,정의당,H.Y하이밀여의도KBS,서울 영등포구 의사당대로 38,한식,31000,식대(의원 외 3인)
심상정,정의당,H.Y하이밀여의도KBS,서울 영등포구 의사당대로 38,한식,75000,식대(의원 외 2인)
김관영,국민의당,Mr.왕왕,영등포구 여의도동 17 더샵아일랜드파크,한식,28000,"의원, 보좌진 식대"
김관영,국민의당,Mr.왕왕,영등포구 여의도동 17 더샵아일랜드파크,한식,63000,"의원, 보좌진 식대"
김재원,새누리당,VIPS여의도점,서울 영등포구 여의도동 13 진미파라곤,양식,127080,
김재원,새누리당,가가시,서울 영등포구 여의도동 맨하탄21빌딩 2층,일식,35500,
박민식,새누리당,가나식당,부산시 연제구 거재동 457-43,한식,92000,지방선거 관련 회의
류성걸,새누리당,가덕도횟집,서울특별시 강남구 역삼동 722-3,일식,380000,기자 간담회
박병석,더불어민주당,가도칼국수,대전 서구 대덕대로 151번길 10,한식,64000,
박명재,새누리당,가마솥쌀밥집,경기 이천시 사음동 162-5,한식,24000,현안관련 회의(2명)
강기정,새정치민주연합,가매,광주 서구 농성동 649-1,일식,50000,식사비
강기정,새정치민주연합,가매항,광주 광산구 쌍암동 694-63,일식,244000,광주전남 지역위원회 현안 간담회
강기정,새정치민주연합,가보세,광주 북구 용봉동,한식,180000,상임위 관련 간담회
김광림,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,263000,기자간담회
김용태,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,193000,간담회 식사 - 서울시교육청
김용태,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,168000,간담회 식사 - 강서교육청
김용태,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,112000,간담회 식사 - 한중포럼(국회등록연구단체)
김용태,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,222000,간담회 식사 - 정무위원회
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,102000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,70000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,155000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,280000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,413000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,181000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,245000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,90000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,111000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,381000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,416000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,350000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,70000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,146000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,33000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,450000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,52000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,216000,
김재원,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,238000,
박민식,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,164000,언론기자 간담회
박민식,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,220000,언론기자 간담회
박민식,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,48000,언론기자 간담회
김관영,국민의당,가시리,서울시 영등포구 여의도동 13-4,한식,50000,"의원, 기자 오찬간담회"
박명재,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,275000,대법관인사청문회 준비관련 회의 (6명)
박명재,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,190000,현안관련 기자간담회(4명)
박명재,새누리당,가시리,서울시 영등포구 여의도동 13-4,한식,275000,현안관련 기자간담회(6명)
심상정,정의당,가시리,서울시 영등포구 여의도동 13-4,한식,218000,"기자간담회(국회 출입기자, 의원 외 14인)"
