"idx","name_kr","party","when_elected","total","attend","absense","leave"
869,"유의동","새누리당","초선( 19대 )",135,125,10,0
870,"홍철호","새누리당","초선( 19대 )",135,125,0,10
871,"이종배","새누리당","초선( 19대 )",135,135,0,0
872,"김제식","새누리당","초선( 19대 )",135,121,9,5
873,"신정훈","더불어민주당","초선( 19대 )",135,135,0,0
874,"이개호","더불어민주당","초선( 19대 )",135,135,0,0
875,"오신환","새누리당","초선( 19대 )",135,130,0,5
876,"안상수","새누리당","재선( 15대 , 19대 )",135,135,0,0
877,"장정은","새누리당","초선( 19대 )",135,135,0,0
878,"신문식","더불어민주당","초선( 19대 )",125,121,0,4
